CPV CODE,Omschrijving,Mapped GPP
43328100-9,Hydraulische uitrusting,GPP: Public Space Maintenance
43329000-5,Uitrustingssets,GPP: Not applicable
43400000-7,Machines voor het behandelen van ertsen en machines voor het maken van gietvormen,GPP: Public Space Maintenance
43410000-0,Machines voor het behandelen van ertsen,GPP: Public Space Maintenance
43411000-7,Sorteer- en zeefmachines,GPP: Public Space Maintenance
43412000-4,Machines voor het mengen van grind met bitumen,GPP: Road transport
43413000-1,Beton- en mortelmengers,GPP: Public Space Maintenance
43413100-2,Cementmengers,GPP: Public Space Maintenance
43414000-8,Maalmachines,GPP: Public Space Maintenance
43414100-9,Steenkoolverpulveraars,GPP: Public Space Maintenance
43415000-5,Gietvormen,GPP: Not applicable
43420000-3,Machines voor het maken van gietvormen,GPP: Not applicable
43500000-8,Rupsbandvoertuigen,GPP: Public Space Maintenance
43600000-9,"Delen van machines voor mijnbouw, steengroeven en voor de bouw",GPP: Public Space Maintenance
43610000-2,Delen van boormachines,GPP: Public Space Maintenance
43611000-9,Delen van grondboormachines,GPP: Public Space Maintenance
43611100-0,Brugproppen,GPP: Not applicable
43611200-1,Industriële boorkoppen,GPP: Not applicable
43611300-2,Boorscharen,GPP: Not applicable
43611400-3,IJzeren boortorens,GPP: Not applicable
43611500-4,Draaibare tafels,GPP: Not applicable
43611600-5,Uitrusting voor de ophanging van de spoelingleiding,GPP: Not applicable
43611700-6,Bevestigingsuitrusting,GPP: Not applicable
43612000-6,Delen van boorputextractiemachines,GPP: Not applicable
43612100-7,Ophangmechanismen voor verbuizing,GPP: Not applicable
43612200-8,Uitrusting voor zeefpijphangers,GPP: Not applicable
43612300-9,Productiestijgbuisspanners,GPP: Not applicable
43612400-0,Boorputkoppen,GPP: Not applicable
43612500-1,Bevestigingsuitrusting voor de productiestijgleiding,GPP: Not applicable
43612600-2,Boorputkop-controlesysteem,GPP: Not applicable
43612700-3,Apparatuur voor boorputkop,GPP: Not applicable
43612800-4,Vijzelsystemen voor boorplatforms,GPP: Not applicable
43613000-3,Delen van steenkool- of steenzaagmachines,GPP: Public Space Maintenance
43613100-4,Delen van steenkoolzaagmachines,GPP: Public Space Maintenance
43613200-5,Delen van steenzaagmachines,GPP: Public Space Maintenance
43614000-0,Delen van tunnelgraafmachines,GPP: Public Space Maintenance
43620000-5,Delen van machines voor het behandelen van ertsen,GPP: Public Space Maintenance
43630000-8,Delen van delfmachines,GPP: Public Space Maintenance
43640000-1,Delen van graafmachinerie,GPP: Public Space Maintenance
43700000-0,Machines voor de metallurgie en bijbehorende onderdelen,GPP: Not applicable
43710000-3,Metaalwalsmachines,GPP: Not applicable
43711000-0,Onderdelen van metaalwalsmachines,GPP: Not applicable
43720000-6,Gietmachines,GPP: Not applicable
43721000-3,Onderdelen van gietmachines,GPP: Not applicable
43800000-1,Werkplaatsuitrusting,GPP: Not applicable
43810000-4,Houtbewerkingsuitrusting,GPP: Not applicable
43811000-1,Schuurmachines,GPP: Not applicable
43812000-8,Zaaguitrusting,GPP: Not applicable
43820000-7,Schoenmakersuitrusting,GPP: Not applicable
43830000-0,Elektrisch gereedschap,GPP: Not applicable
43840000-3,Uitrusting voor smederij,GPP: Not applicable
44000000-0,Structuren en materialen voor de bouw; ondersteunende producten voor de bouw (uitgezonderd elektrische apparatuur),"GPP: Office Building Design, Construction and Management"
44100000-1,Bouwmaterialen en aanverwante artikelen,"GPP: Office Building Design, Construction and Management"
44110000-4,Constructiematerialen,"GPP: Office Building Design, Construction and Management"
44111000-1,Bouwmaterialen,"GPP: Office Building Design, Construction and Management"
44111100-2,Bakstenen,"GPP: Office Building Design, Construction and Management"
44111200-3,Cement,"GPP: Office Building Design, Construction and Management"
44111210-6,Boorspecie,GPP: Not applicable
44111300-4,Keramiek,"GPP: Office Building Design, Construction and Management"
44111400-5,Verf en wandbekleding,"GPP: Office Building Design, Construction and Management"
44111500-6,Isolatoren en isolerende delen,"GPP: Office Building Design, Construction and Management"
44111510-9,Isolatoren,"GPP: Office Building Design, Construction and Management"
44111511-6,Isolatoren voor elektriciteit,GPP: Not applicable
44111520-2,Warmte-isolatiemateriaal,"GPP: Office Building Design, Construction and Management"
44111530-5,Elektriciteit-isolerende delen,GPP: Not applicable
44111540-8,Isolatieglas,"GPP: Office Building Design, Construction and Management"
44111600-7,Blokken,"GPP: Office Building Design, Construction and Management"
44111700-8,Tegels,"GPP: Office Building Design, Construction and Management"
44111800-9,Mortel (bouwnijverheid),"GPP: Office Building Design, Construction and Management"
44111900-0,Keramische plavuizen,"GPP: Office Building Design, Construction and Management"
44112000-8,Diverse constructiestructuren,"GPP: Office Building Design, Construction and Management"
44112100-9,Schuilhokjes,GPP: Not applicable
44112110-2,Onderdelen van schuilhokjes,GPP: Not applicable
44112120-5,Profielsecties,"GPP: Office Building Design, Construction and Management"
44112200-0,Vloerbedekking,"GPP: Office Building Design, Construction and Management"
44112210-3,Hard vloermateriaal,"GPP: Office Building Design, Construction and Management"
44112220-6,Verhoogde vloeren,"GPP: Office Building Design, Construction and Management"
44112230-9,Linoleum,"GPP: Office Building Design, Construction and Management"
44112240-2,Parket,"GPP: Office Building Design, Construction and Management"
44112300-1,Scheidingsvoorzieningen,"GPP: Office Building Design, Construction and Management"
44112310-4,Scheidingswanden,"GPP: Office Building Design, Construction and Management"
44112400-2,Dak,"GPP: Office Building Design, Construction and Management"
44112410-5,Dakspanten,"GPP: Office Building Design, Construction and Management"
44112420-8,Dakstutten,"GPP: Office Building Design, Construction and Management"
44112430-1,Kapspanten,"GPP: Office Building Design, Construction and Management"
44112500-3,Dakbedekkingsmateriaal,"GPP: Office Building Design, Construction and Management"
44112510-6,Dakspanen,"GPP: Office Building Design, Construction and Management"
44112600-4,Geluidsisolatie,"GPP: Office Building Design, Construction and Management"
44112700-5,Balken,"GPP: Office Building Design, Construction and Management"
44113000-5,Materiaal voor wegenbouw,"GPP: Road Design, Construction and Maintenance"
44113100-6,Bestratingsmateriaal,"GPP: Road Design, Construction and Maintenance"
44113120-2,Bestratingsplaten,"GPP: Road Design, Construction and Maintenance"
44113130-5,Straatstenen,"GPP: Road Design, Construction and Maintenance"
44113140-8,Steenmateriaal voor wegenbouw,"GPP: Road Design, Construction and Maintenance"
44113200-7,Flagstones,"GPP: Road Design, Construction and Maintenance"
44113300-8,Omhulde materialen,"GPP: Road Design, Construction and Maintenance"
44113310-1,Omhulde wegenbouwmaterialen,"GPP: Road Design, Construction and Maintenance"
44113320-4,Omhulde wegenbouwsteen,"GPP: Road Design, Construction and Maintenance"
44113330-7,Bekledingsmateriaal,"GPP: Road Design, Construction and Maintenance"
44113500-0,Glazen parels,"GPP: Paints, varnishes and road markings"
44113600-1,Bitumen en asfalt,"GPP: Road Design, Construction and Maintenance"
44113610-4,Bitumen,"GPP: Road Design, Construction and Maintenance"
44113620-7,Asfalt,"GPP: Road Design, Construction and Maintenance"
44113700-2,Materiaal voor reparatie van wegen,"GPP: Road Design, Construction and Maintenance"
44113800-3,Wegdekmateriaal,"GPP: Road Design, Construction and Maintenance"
44113810-6,Oppervlaktebehandeling,"GPP: Road Design, Construction and Maintenance"
44113900-4,Materiaal voor wegenonderhoud,"GPP: Road Design, Construction and Maintenance"
44113910-7,Materiaal voor gladheidsbestrijding,GPP: Public Space Maintenance
44114000-2,Beton,"GPP: Road Design, Construction and Maintenance"
44114100-3,Stortklaar beton,"GPP: Road Design, Construction and Maintenance"
44114200-4,Betonproducten,"GPP: Road Design, Construction and Maintenance"
44114210-7,Betonnen pijlers,"GPP: Road Design, Construction and Maintenance"
44114220-0,Betonnen buizen en hulpstukken,"GPP: Road Design, Construction and Maintenance"
44114250-9,Betonplaten,"GPP: Road Design, Construction and Maintenance"
44115000-9,Hulpstukken voor bouwwerken,"GPP: Office Building Design, Construction and Management"
44115100-0,Buisleidingen,"GPP: Office Building Design, Construction and Management"
44115200-1,Loodgieters- en verwarmingsmateriaal,"GPP: Office Building Design, Construction and Management"
44115210-4,Loodgietersmateriaal,"GPP: Office Building Design, Construction and Management"
44115220-7,Materiaal voor verwarming,"GPP: Office Building Design, Construction and Management"
44115310-5,Rolluiken,"GPP: Office Building Design, Construction and Management"
44115400-3,Dakramen,"GPP: Office Building Design, Construction and Management"
44115500-4,Sprinklersystemen,"GPP: Office Building Design, Construction and Management"
44115600-5,Trapliften,"GPP: Office Building Design, Construction and Management"
44115700-6,Externe zonwering,"GPP: Office Building Design, Construction and Management"
44115710-9,Luifels,"GPP: Office Building Design, Construction and Management"
44115800-7,Interne hulpstukken voor gebouwen,"GPP: Office Building Design, Construction and Management"
44115810-0,Gordijnroeden en gordijnen,"GPP: Office Building Design, Construction and Management"
44115811-7,Gordijnroeden,"GPP: Office Building Design, Construction and Management"
44115900-8,Zonweringselementen,"GPP: Office Building Design, Construction and Management"
44130000-0,Hoofdleidingen voor riolering,"GPP: Road Design, Construction and Maintenance"
44131000-7,Rioolkolken,"GPP: Road Design, Construction and Maintenance"
44132000-4,Duikerelementen,"GPP: Road Design, Construction and Maintenance"
44133000-1,Dekplaatjes van gietijzer,"GPP: Road Design, Construction and Maintenance"
44134000-8,Bochtstukken,"GPP: Road Design, Construction and Maintenance"
44140000-3,Producten verband houdend met bouwmaterialen,"GPP: Office Building Design, Construction and Management"
44141000-0,Leidingbuizen,"GPP: Office Building Design, Construction and Management"
44141100-1,Elektriciteitsbuizen,"GPP: Office Building Design, Construction and Management"
44142000-7,Frames,"GPP: Office Building Design, Construction and Management"
44143000-4,Laadborden,"GPP: Office Building Design, Construction and Management"
44144000-1,Stijlen,"GPP: Office Building Design, Construction and Management"
44160000-9,"Pijpleidingen, pijpleidingstelsels, pijpen, mantelbuizen, binnenbuizen en aanverwante artikelen","GPP: Office Building Design, Construction and Management"
44161000-6,Pijpleidingen,"GPP: Office Building Design, Construction and Management"
44161100-7,Gaspijpleidingen,"GPP: Office Building Design, Construction and Management"
44161110-0,Gasdistributienetwerk,"GPP: Office Building Design, Construction and Management"
44161200-8,Hoofdwaterleiding,"GPP: Office Building Design, Construction and Management"
44161400-0,Onderwaterpijpleiding,"GPP: Road Design, Construction and Maintenance"
44161410-3,Onderzeese pijpleiding,"GPP: Road Design, Construction and Maintenance"
44161500-1,Hogedrukpijpleiding,"GPP: Office Building Design, Construction and Management"
44161600-2,Lagedrukpijpleiding,"GPP: Office Building Design, Construction and Management"
44161700-3,Pijpschrapers,GPP: Not applicable
44161710-6,Lanceerinstallaties voor pijpschrapers,GPP: Not applicable
44161720-9,Opvanginstallaties voor pijpschrapers,GPP: Not applicable
44161730-2,Bijleidingen voor pijpschraper,"GPP: Office Building Design, Construction and Management"
44162000-3,Pijpleidingstelsels,"GPP: Office Building Design, Construction and Management"
44162100-4,Benodigdheden voor pijpleidingstelsel,"GPP: Office Building Design, Construction and Management"
44162200-5,Distributiepijpleiding,"GPP: Office Building Design, Construction and Management"
44162300-6,Lozingsleidingstelsel,"GPP: Office Building Design, Construction and Management"
44162400-7,Mangaten van gres,"GPP: Road Design, Construction and Maintenance"
44162500-8,Drinkwaterleidingen,"GPP: Office Building Design, Construction and Management"
44163000-0,Pijpen en fittings,"GPP: Office Building Design, Construction and Management"
44163100-1,Pijpen,"GPP: Office Building Design, Construction and Management"
44163110-4,Afwateringspijpen,"GPP: Office Building Design, Construction and Management"
44163111-1,Afvoerpijpen,"GPP: Office Building Design, Construction and Management"
44163112-8,Afwateringssysteem,"GPP: Office Building Design, Construction and Management"
44163120-7,Stadsverwarmingsbuizen,"GPP: Office Building Design, Construction and Management"
44163121-4,Verwarmingsbuizen,"GPP: Office Building Design, Construction and Management"
44163130-0,Rioolbuizen,"GPP: Office Building Design, Construction and Management"
44163140-3,Stoom- en waterbuizen,"GPP: Office Building Design, Construction and Management"
44163150-6,Lagedrukbuizen,"GPP: Office Building Design, Construction and Management"
44163160-9,Distributiebuizen en toebehoren,"GPP: Office Building Design, Construction and Management"
44163200-2,Pijpfittings,"GPP: Office Building Design, Construction and Management"
44163210-5,Pijpklemmen,"GPP: Office Building Design, Construction and Management"
44163230-1,Pijpkoppelstukken,"GPP: Office Building Design, Construction and Management"
44163240-4,Pijpverbindingen,"GPP: Office Building Design, Construction and Management"
44163241-1,Geïsoleerde verbindingsstukken,"GPP: Office Building Design, Construction and Management"
44164000-7,Mantelbuizen en binnenbuizen,"GPP: Office Building Design, Construction and Management"
44164100-8,Mantelbuizen,"GPP: Office Building Design, Construction and Management"
44164200-9,Schachtbekleding,"GPP: Road Design, Construction and Maintenance"
44164300-0,Buisvormige goederen,"GPP: Office Building Design, Construction and Management"
44164310-3,Buizen en fittings,"GPP: Office Building Design, Construction and Management"
44165000-4,"Slangen, stijgleidingen en moffen","GPP: Office Building Design, Construction and Management"
44165100-5,Slangen,"GPP: Office Building Design, Construction and Management"
44165110-8,Boorslangen,GPP: Not applicable
44165200-6,Stijgleidingen,"GPP: Office Building Design, Construction and Management"
44165210-9,Flexibele stijgbuizen,"GPP: Office Building Design, Construction and Management"
44165300-7,Moffen,"GPP: Office Building Design, Construction and Management"
44166000-1,Buismateriaal voor de aardolie-industrie,GPP: Not applicable
44167000-8,Diverse pijpfittingen,"GPP: Office Building Design, Construction and Management"
44167100-9,Koppelstukken,"GPP: Office Building Design, Construction and Management"
44167110-2,Flenzen,"GPP: Office Building Design, Construction and Management"
44167111-9,Flensadapters,"GPP: Office Building Design, Construction and Management"
44167200-0,Reparatieklemmen en -ringen,"GPP: Office Building Design, Construction and Management"
44167300-1,"Bochtstukken, T-stukken en fittingen voor pijpen","GPP: Office Building Design, Construction and Management"
44167400-2,Kniestukken,"GPP: Office Building Design, Construction and Management"
44170000-2,"Platen, bladen, strips en folie verband houdend met bouwmaterialen","GPP: Office Building Design, Construction and Management"
44171000-9,Platen (bouwnijverheid),"GPP: Office Building Design, Construction and Management"
44172000-6,Bladen (bouwnijverheid),"GPP: Office Building Design, Construction and Management"
44173000-3,Strips,"GPP: Office Building Design, Construction and Management"
44174000-0,Folie,"GPP: Office Building Design, Construction and Management"
44175000-7,Panelen,"GPP: Office Building Design, Construction and Management"
44176000-4,Dunne folie,"GPP: Office Building Design, Construction and Management"
44190000-8,Diverse materialen voor de bouw,"GPP: Office Building Design, Construction and Management"
44191000-5,Diverse houten materialen voor de bouw,"GPP: Office Building Design, Construction and Management"
44191100-6,Multiplex,"GPP: Office Building Design, Construction and Management"
44191200-7,Houtlaminaat,"GPP: Office Building Design, Construction and Management"
44191300-8,Spaanplaat,"GPP: Office Building Design, Construction and Management"
44191400-9,Vezelplaat,"GPP: Office Building Design, Construction and Management"
44191500-0,Geperst hout,"GPP: Office Building Design, Construction and Management"
44191600-1,Panelen voor parketvloeren,"GPP: Office Building Design, Construction and Management"
44192000-2,Overige diverse materialen voor de bouw,"GPP: Office Building Design, Construction and Management"
44192100-3,Pvc-schuim,"GPP: Office Building Design, Construction and Management"
44192200-4,Nagels,"GPP: Office Building Design, Construction and Management"
44200000-2,Constructieproducten,"GPP: Office Building Design, Construction and Management"
44210000-5,Assemblagestructuren en delen daarvan,"GPP: Office Building Design, Construction and Management"
44211000-2,Prefabgebouwen,"GPP: Office Building Design, Construction and Management"
44211100-3,Modulaire verplaatsbare bouwelementen,"GPP: Office Building Design, Construction and Management"
44211110-6,Cabines,"GPP: Office Building Design, Construction and Management"
44211200-4,Hokjes,"GPP: Office Building Design, Construction and Management"
44211300-5,Veldhospitaal,GPP: Not applicable
44211400-6,Veldkeukens,GPP: Not applicable
44211500-7,Broeikassen,GPP: Not applicable
44212000-9,"Metaalbouwproducten en onderdelen, met uitzondering van prefabgebouwen","GPP: Office Building Design, Construction and Management"
44212100-0,Brug,"GPP: Road Design, Construction and Maintenance"
44212110-3,Brugsecties,"GPP: Road Design, Construction and Maintenance"
44212120-6,Metaalconstructies van bruggen,"GPP: Road Design, Construction and Maintenance"
44212200-1,"Torens, vakwerkmasten, hefkranen en pylonen","GPP: Office Building Design, Construction and Management"
44212210-4,Hefkranen,GPP: Not applicable
44212211-1,Boortorens,GPP: Not applicable
44212212-8,Vaste boortorens,GPP: Not applicable
44212220-7,"Pylonen, palen en paaltjes",GPP: Not applicable
44212221-4,Pylonen,GPP: Not applicable
44212222-1,Hoogspanningsmasten,GPP: Not applicable
44212223-8,Pyloonstutten,GPP: Not applicable
44212224-5,Palen voor bovengrondse leidingen,GPP: Not applicable
44212225-2,Palen,GPP: Not applicable
44212226-9,Elektriciteitspalen,GPP: Not applicable
44212227-6,Paaltjes,GPP: Not applicable
44212230-0,Torens,GPP: Not applicable
44212233-1,Watertorens,GPP: Not applicable
44212240-3,Steunbalken,"GPP: Office Building Design, Construction and Management"
44212250-6,Masten,GPP: Not applicable
44212260-9,Radio- of televisiemasten,GPP: Not applicable
44212261-6,Radiomasten,GPP: Not applicable
44212262-3,Televisiemasten,GPP: Not applicable
44212263-0,Vakwerkmasten,GPP: Not applicable
44212300-2,Assemblagestructuren en losse delen,"GPP: Office Building Design, Construction and Management"
44212310-5,Bouwsteigers,"GPP: Office Building Design, Construction and Management"
44212311-2,Boogschoren,"GPP: Office Building Design, Construction and Management"
44212312-9,Boogpijlers,"GPP: Office Building Design, Construction and Management"
44212313-6,Stutten,"GPP: Office Building Design, Construction and Management"
44212314-3,Draagconstructie voor pijpen,"GPP: Office Building Design, Construction and Management"
44212315-0,Steigeruitrusting,"GPP: Office Building Design, Construction and Management"
44212316-7,Boogklemmen,"GPP: Office Building Design, Construction and Management"
44212317-4,Steigerconstructies,"GPP: Office Building Design, Construction and Management"
44212318-1,Stutten voor pijpleidingen,"GPP: Office Building Design, Construction and Management"
44212320-8,Diverse structuren,"GPP: Office Building Design, Construction and Management"
44212321-5,Abri's,"GPP: Office Building Design, Construction and Management"
44212322-2,Telefooncellen,"GPP: Office Building Design, Construction and Management"
44212329-1,Veiligheidsschermen,"GPP: Office Building Design, Construction and Management"
44212380-6,Delen van assemblagestructuren,"GPP: Office Building Design, Construction and Management"
44212381-3,Bekleding,"GPP: Office Building Design, Construction and Management"
44212382-0,Vloeddeuren,GPP: Not applicable
44212383-7,Deuren voor schutsluis,GPP: Not applicable
44212390-9,Sluizen,GPP: Not applicable
44212391-6,Deuren voor in-/uitlaatsluis,GPP: Not applicable
44212400-3,Heiwerk,"GPP: Office Building Design, Construction and Management"
44212410-6,Damwandplanken,"GPP: Office Building Design, Construction and Management"
44212500-4,Hoekstaal en profielstaal,"GPP: Office Building Design, Construction and Management"
44212510-7,Hoekstaal,"GPP: Office Building Design, Construction and Management"
44212520-0,Profielstaal,"GPP: Office Building Design, Construction and Management"
44220000-8,Schrijnwerk voor de bouw,"GPP: Office Building Design, Construction and Management"
44221000-5,"Ramen, deuren en aanverwante artikelen","GPP: Office Building Design, Construction and Management"
44221100-6,Ramen,"GPP: Office Building Design, Construction and Management"
44221110-9,Raamkozijnen,"GPP: Office Building Design, Construction and Management"
44221111-6,Elementen met dubbele beglazing,"GPP: Office Building Design, Construction and Management"
44221120-2,Openslaande deuren,"GPP: Office Building Design, Construction and Management"
44221200-7,Deuren,"GPP: Office Building Design, Construction and Management"
44221210-0,Deurplaten,"GPP: Office Building Design, Construction and Management"
44221211-7,Deurkozijnen,"GPP: Office Building Design, Construction and Management"
44221212-4,Deurhorren,"GPP: Office Building Design, Construction and Management"
44221213-1,Deurdrempels,"GPP: Office Building Design, Construction and Management"
44221220-3,Branddeuren,"GPP: Office Building Design, Construction and Management"
44221230-6,Schuifdeuren,"GPP: Office Building Design, Construction and Management"
44221240-9,Garagedeuren,"GPP: Office Building Design, Construction and Management"
44221300-8,Toegangsdeuren,"GPP: Office Building Design, Construction and Management"
44221310-1,Toegangshekken,"GPP: Office Building Design, Construction and Management"
44221400-9,Luiken,"GPP: Office Building Design, Construction and Management"
44221500-0,Drempels,"GPP: Office Building Design, Construction and Management"
44230000-1,Timmerwerk voor de bouw,"GPP: Office Building Design, Construction and Management"
44231000-8,Kant-en-klare omheiningspanelen,"GPP: Office Building Design, Construction and Management"
44232000-5,Houten kapgebinten,"GPP: Office Building Design, Construction and Management"
44233000-2,Trappen,"GPP: Office Building Design, Construction and Management"
44300000-3,"Kabels, draad en aanverwante producten","GPP: Office Building Design, Construction and Management"
44310000-6,Draadproducten,"GPP: Office Building Design, Construction and Management"
44311000-3,Gevlochten draad,"GPP: Office Building Design, Construction and Management"
44312000-0,Omheiningsdraad,"GPP: Office Building Design, Construction and Management"
44312300-3,Prikkeldraad,"GPP: Office Building Design, Construction and Management"
44313000-7,Metaalgaas,"GPP: Office Building Design, Construction and Management"
44313100-8,Gaasafrastering,"GPP: Office Building Design, Construction and Management"
44313200-9,Metaalweefsel,"GPP: Office Building Design, Construction and Management"
44315000-1,Walsdraad,"GPP: Office Building Design, Construction and Management"
44315100-2,Lastoebehoren,GPP: Not applicable
44315200-3,Lasmateriaal,GPP: Not applicable
44315300-4,Materiaal voor solderen en hardsolderen,GPP: Not applicable
44315310-7,Soldeermateriaal,GPP: Not applicable
44315320-0,Materiaal voor hardsolderen,GPP: Not applicable
44316000-8,IJzerwaren,"GPP: Office Building Design, Construction and Management"
44316100-9,Aambeelden,GPP: Not applicable
44316200-0,Draagbare smidse,GPP: Not applicable
44316300-1,Roosters,"GPP: Office Building Design, Construction and Management"
44316400-2,Handgereedschappen,GPP: Not applicable
44316500-3,Smidswaren,"GPP: Office Building Design, Construction and Management"
44316510-6,Smeedwerk,"GPP: Office Building Design, Construction and Management"
44317000-5,Stroppen van ijzer of staal,GPP: Not applicable
44318000-2,Geleiders,"GPP: Office Building Design, Construction and Management"
44320000-9,Kabel en aanverwante producten,"GPP: Office Building Design, Construction and Management"
44321000-6,Kabel,"GPP: Office Building Design, Construction and Management"
44322000-3,Kabeltoebehoren,"GPP: Office Building Design, Construction and Management"
44322100-4,Kabeldoorvoerbuizen,"GPP: Office Building Design, Construction and Management"
44322200-5,Kabelaansluitingen,"GPP: Office Building Design, Construction and Management"
44322300-6,Kabelbuizen,"GPP: Office Building Design, Construction and Management"
44322400-7,Kabelklemmen,"GPP: Office Building Design, Construction and Management"
44330000-2,"Staven, stangen, draad en profielen voor gebruik in de bouw","GPP: Office Building Design, Construction and Management"
44331000-9,Staven,"GPP: Office Building Design, Construction and Management"
44332000-6,Stangen (bouwnijverheid),"GPP: Office Building Design, Construction and Management"
44333000-3,Draad,"GPP: Office Building Design, Construction and Management"
44334000-0,Profielen,"GPP: Office Building Design, Construction and Management"
44400000-4,Diverse fabrikaten en aanverwante producten,"GPP: Office Building Design, Construction and Management"
44410000-7,Artikelen voor badkamer en keuken,"GPP: Office Building Design, Construction and Management"
44411000-4,Sanitair,"GPP: Office Building Design, Construction and Management"
44411100-5,Kranen,"GPP: Office Building Design, Construction and Management"
44411200-6,Badkuipen,"GPP: Office Building Design, Construction and Management"
44411300-7,Wastafels,"GPP: Office Building Design, Construction and Management"
44411400-8,Douchebakken,"GPP: Office Building Design, Construction and Management"
44411600-0,Bidets,"GPP: Office Building Design, Construction and Management"
44411700-1,"WC-brillen, deksels, toiletpotten en stortbakken","GPP: Office Building Design, Construction and Management"
44411710-4,WC-brillen,"GPP: Office Building Design, Construction and Management"
44411720-7,WC-deksels,"GPP: Office Building Design, Construction and Management"
44411740-3,Toiletpotten,"GPP: Office Building Design, Construction and Management"
44411750-6,Stortbakken,"GPP: Office Building Design, Construction and Management"
44411800-2,Urinoirs,"GPP: Office Building Design, Construction and Management"
44420000-0,Goederen voor gebruik in de bouw,"GPP: Office Building Design, Construction and Management"
44421000-7,"Gepantserde of gewapende kluizen, brandkasten en deuren","GPP: Office Building Design, Construction and Management"
44421300-0,Kluizen,"GPP: Office Building Design, Construction and Management"
44421500-2,Gepantserde of gewapende deuren,"GPP: Office Building Design, Construction and Management"
44421600-3,Bewaarkluizen,"GPP: Office Building Design, Construction and Management"
44421700-4,Kisten en afsluitbare kasten,"GPP: Office Building Design, Construction and Management"
44421710-7,Bagagekluizen,"GPP: Office Building Design, Construction and Management"
44421720-0,Opbergkasten,"GPP: Office Building Design, Construction and Management"
44421721-7,Safekastjes,"GPP: Office Building Design, Construction and Management"
44421722-4,Safekasten,GPP: Not applicable
44421780-8,Aktenkisten,GPP: Not applicable
44421790-1,Geldkisten,GPP: Not applicable
44422000-4,Brievenbussen,GPP: Not applicable
44423000-1,Diverse goederen,GPP: Not applicable
44423100-2,Klokken (bellen),GPP: Not applicable
44423200-3,Ladders,GPP: Not applicable
44423220-9,Opvouwbare trappen,GPP: Not applicable
44423230-2,Keukentrapjes,GPP: Not applicable
44423300-4,Laad- en losuitrusting,GPP: Public Space Maintenance
44423330-3,Pallets voor goederenvervoer,GPP: Not applicable
44423340-6,Toebehoren van draadkabel voor laad- en losuitrusting,GPP: Public Space Maintenance
44423400-5,Signaleringsborden en aanverwante artikelen,GPP: Road lighting and traffic signals
44423450-0,Naambordjes,GPP: Road lighting and traffic signals
44423460-3,Adresplaatjes,GPP: Not applicable
44423700-8,Delen van mangaten,"GPP: Road Design, Construction and Maintenance"
44423710-1,Straatpotten,"GPP: Road Design, Construction and Maintenance"
44423720-4,Grenskasten,"GPP: Road Design, Construction and Maintenance"
44423730-7,Frames voor mangaten,"GPP: Road Design, Construction and Maintenance"
44423740-0,Mangatdeksels,"GPP: Road Design, Construction and Maintenance"
44423750-3,Riooldeksels,"GPP: Road Design, Construction and Maintenance"
44423760-6,Toegangsdeksels,"GPP: Road Design, Construction and Maintenance"
44423790-5,Klimijzers voor mangaten,"GPP: Road Design, Construction and Maintenance"
44423800-9,Metalen stempels,GPP: Not applicable
44423810-2,Rubberstempels,GPP: Not applicable
44423850-4,Gevormde artikelen,"GPP: Office Building Design, Construction and Management"
44423900-0,Opofferingsanodes,GPP: Public Space Maintenance
44424000-8,Meterkasten en band,"GPP: Office Building Design, Construction and Management"
44424100-9,Meterkasten,"GPP: Office Building Design, Construction and Management"
44424200-0,Plakband,GPP: Not applicable
44424300-1,Reflecterend band,GPP: Public Space Maintenance
44425000-5,"Ringen, zegels, band, stokken en voegspeciepakkers","GPP: Office Building Design, Construction and Management"
44425100-6,Elastische ringen,"GPP: Office Building Design, Construction and Management"
44425110-9,Zelfklevende versterkingsringen,"GPP: Office Building Design, Construction and Management"
44425200-7,Dichtingsmateriaal van rubber,"GPP: Office Building Design, Construction and Management"
44425300-8,Elastiekjes,GPP: Not applicable
44425400-9,Voegspeciepakkers,"GPP: Office Building Design, Construction and Management"
44425500-0,Stokken van plastic,"GPP: Office Building Design, Construction and Management"
44430000-3,Pantserplaatbekleding,"GPP: Office Building Design, Construction and Management"
44431000-0,Dekplaten,"GPP: Office Building Design, Construction and Management"
44440000-6,Lagers,GPP: Not applicable
44441000-3,Microparels,GPP: Not applicable
44442000-0,Rollagers,GPP: Not applicable
44450000-9,Zacht staal,"GPP: Office Building Design, Construction and Management"
44451000-6,Muntplaatjes,GPP: Not applicable
44452000-3,Muntbakken voor automaten,GPP: Not applicable
44460000-2,Schoren en stutten voor de mijnbouw,GPP: Not applicable
44461000-9,Schoren,GPP: Not applicable
44461100-0,Mijnschoren,GPP: Not applicable
44462000-6,Mijnstutten,GPP: Not applicable
44464000-0,Rupsbanden,GPP: Not applicable
44470000-5,Gietijzeren producten,"GPP: Office Building Design, Construction and Management"
44480000-8,Diverse brandbeveiligingsuitrusting,"GPP: Office Building Design, Construction and Management"
44481000-5,Hoogwerkers,GPP: Public Space Maintenance
44481100-6,Brandladders,GPP: Not applicable
44482000-2,Brandbeveiligingstoestellen,"GPP: Office Building Design, Construction and Management"
44482100-3,Brandslangen,GPP: Not applicable
44482200-4,Brandkranen,GPP: Not applicable
44500000-5,"Gereedschap, sloten, sleutels, scharnieren, sluitingen, ketting en veren",GPP: Not applicable
44510000-8,Gereedschap,GPP: Not applicable
