CPV Code,Omschrijving,GPP Module(s),Qualifier
42130000-9,"Kranen, afsluiters, kleppen en dergelijke","Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van water-, verwarmings-, ventilatie- of energievoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131000-6,"Kranen, afsluiters en kleppen","Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van water-, verwarmings-, ventilatie- of energievoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131100-7,Kleppen gekenmerkt door hun functie,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131110-0,Afsluiters voor cv-radiatoren,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energie-efficiënte verwarmingsinstallaties binnen de bouw of renovatie van een kantoorgebouw.
42131120-3,Schuiven,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van water- of verwarmingssystemen binnen de bouw of renovatie van een kantoorgebouw.
42131130-6,Temperatuurregelaars,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energiebeheer- of klimaatregelsystemen binnen de bouw of renovatie van een kantoorgebouw.
42131140-9,"Reduceerkleppen, regelkleppen, keerkleppen en veiligheidskleppen","Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131141-6,Reduceerkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131142-3,Regelkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien toegepast binnen energie-efficiënte verwarmings- of koelsystemen van kantoorgebouwen.
42131143-0,Hoogwaterafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van het waterafvoer- of noodafvoersysteem binnen de bouw of renovatie van een kantoorgebouw.
42131144-7,Regelafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien toegepast binnen energie-efficiënte verwarmings- of koelsystemen van kantoorgebouwen.
42131145-4,Keerkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131146-1,Terugslagkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131147-8,Veiligheidskleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energie-efficiënte verwarmings- of koelsystemen binnen de bouw of renovatie van een kantoorgebouw.
42131148-5,Afsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van water-, ventilatie- of verwarmingssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131150-2,Standpijpkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van een brandveiligheids- of sprinklerinstallatie binnen de bouw of renovatie van een kantoorgebouw.
42131160-5,Hydranten,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geïntegreerd in brandveiligheids- of waterinstallaties binnen de bouw of renovatie van een kantoorgebouw.
42131170-8,Uitstroomventielen van gasflessen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van gas- of veiligheidsinstallaties binnen de bouw of renovatie van een kantoorgebouw.
42131200-8,Kleppen gekenmerkt door hun constructie,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien toegepast binnen verwarmings-, ventilatie- of watercirculatiesystemen van een kantoorgebouw."
42131210-1,Messchuifafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van water- of afvalwatersystemen binnen de bouw of renovatie van een kantoorgebouw.
42131220-4,Afsluitkleppen in drukleidingen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watervoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131230-7,Schuifafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van water- of afvalwatersystemen binnen de bouw of renovatie van een kantoorgebouw.
42131240-0,Kogelklepafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, koel- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131250-3,Naaldafsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van nauwkeurige regel- of druksystemen binnen de bouw of renovatie van een kantoorgebouw.
42131260-6,Kogelkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, ventilatie- of watervoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131270-9,Plugkranen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van gas-, water- of verwarmingssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131280-2,Vleugelkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van ventilatie-, verwarmings- of watervoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42131290-5,Diafragmakleppen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van water-, lucht- of afvalwatersystemen binnen de bouw of renovatie van een kantoorgebouw."
42131291-2,Schuifkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van water- of afvalwatersystemen binnen de bouw of renovatie van een kantoorgebouw.
42131292-9,Scharnierkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van ventilatie- of watervoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw.
42131300-9,Spuitkruisen en andere klepconstructies,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van technische installaties of leidingsystemen binnen de bouw of renovatie van een kantoorgebouw.
42131320-5,Smoorverdeelstukken,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van druk- of regelsystemen binnen de bouw of renovatie van een kantoorgebouw.
42131390-6,Klepconstructies,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van verwarmings-, ventilatie- of watercirculatiesystemen binnen de bouw of renovatie van een kantoorgebouw."
42131400-0,Kranen en afsluiters voor sanitaire installaties,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van sanitaire voorzieningen binnen de bouw of renovatie van een kantoorgebouw.
42132000-3,Delen van kranen en afsluiters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van technische installaties binnen de bouw of renovatie van een kantoorgebouw.
42132100-4,Klepaandrijvingen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor het automatiseren van regelkleppen binnen de bouw of renovatie van een kantoorgebouw.
42132110-7,Elektrische klepaandrijvingen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor energie-efficiënte regeling van verwarmings- of ventilatiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42132120-0,Hydraulische klepaandrijvingen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor het bedienen van kleppen binnen hydraulische systemen van een kantoorgebouw.
42132130-3,Pneumatische klepaandrijvingen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor het automatiseren van ventilatie- of regelsystemen binnen de bouw of renovatie van een kantoorgebouw.
42132200-5,Kraanonderdelen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van sanitaire of technische installaties binnen de bouw of renovatie van een kantoorgebouw.
42132300-6,Kleponderdelen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien geleverd als onderdeel van verwarmings-, koel- of watervoorzieningssystemen binnen de bouw of renovatie van een kantoorgebouw."
42141200-1,Lagerhuizen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van ventilatie-, verwarmings- of pompsystemen binnen de bouw of renovatie van een kantoorgebouw."
42141300-2,Tandwielen en tandwieloverbrengingen,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien gebruikt binnen mechanische aandrijvingen van ventilatie-, lift- of pompsystemen in een kantoorgebouw."
42141400-3,Vliegwielen en riemschijven,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energie- of ventilatiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42141500-4,Koppelingen (versnellingsbak),Wegvervoer,Let op: alleen van toepassing indien ingekocht als onderdeel van aandrijflijn of transmissiesysteem van voertuigen.
42141600-5,Katrolblokken,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van hijs- of ventilatiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42141700-6,Askoppelingen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van mechanische aandrijfsystemen binnen ventilatie- of pompsystemen in een kantoorgebouw.
42141800-7,Cardankoppelingen,Wegvervoer,Let op: alleen van toepassing indien ingekocht als onderdeel van aandrijflijn of transmissiesysteem van voertuigen.
42142000-6,Delen van tandwieloverbrengingen en drijfwerkelementen,Wegvervoer,Let op: alleen van toepassing indien ingekocht als onderdeel van transmissiesystemen of aandrijflijnen van voertuigen.
42142100-7,Delen van tandwieloverbrengingselementen,Wegvervoer,Let op: alleen van toepassing indien ingekocht als onderdeel van transmissiesystemen of aandrijflijnen van voertuigen.
42142200-8,Delen van drijfwerkelementen,Wegvervoer,Let op: alleen van toepassing indien ingekocht als onderdeel van transmissiesystemen of aandrijflijnen van voertuigen.
42160000-8,Boilerinstallaties,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van verwarmings- of warmwatersystemen binnen de bouw of renovatie van een kantoorgebouw.
42161000-5,Heetwaterboilers,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van warmwater- of verwarmingsinstallaties binnen de bouw of renovatie van een kantoorgebouw.
42162000-2,Stoomboilers,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van centrale verwarmings- of energieopwekkingssystemen binnen de bouw of renovatie van een kantoorgebouw.
42163000-9,Stoomgeneratoren,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor warmte- of energievoorziening binnen de bouw of renovatie van een kantoorgebouw.
42164000-6,Hulptoestellen voor ketels,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van verwarmings- of energiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42165000-3,Stoomcondensors,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van warmte-terugwinning of energiebesparende installaties binnen de bouw of renovatie van een kantoorgebouw.
42200000-8,"Machines voor voedsel-, dranken- en tabaksverwerking, en toebehoren","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedsel- of drankbereiding binnen cateringdiensten of bedrijfskeukens.
42210000-1,"Machines voor voedsel-, drank- en tabaksbewerking","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor de bereiding of verwerking van voedsel of dranken binnen cateringdiensten of bedrijfskeukens.
42211000-8,Zuivelbehandelingsmachines,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor verwerking of bereiding van zuivelproducten binnen cateringdiensten of bedrijfskeukens.
42211100-9,Melkcentrifuges,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor melkverwerking of bereiding van zuivelproducten binnen cateringdiensten of bedrijfskeukens.
42212000-5,Machines voor het verwerken van granen of gedroogde groenten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbereiding of -verwerking binnen cateringdiensten of bedrijfskeukens.
42213000-2,Machines voor het bereiden van alcoholische of vruchtendranken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor het bereiden of serveren van dranken binnen cateringdiensten of bedrijfsrestaurants.
42214000-9,"Bakovens, droogtoestellen voor landbouwproducten en toestellen voor het koken of verwarmen","Levensmiddelen, cateringdiensten en verkoopautomaten","Let op: alleen van toepassing indien gebruikt voor het bereiden, verwarmen of drogen van voedsel binnen cateringdiensten of bedrijfskeukens."
42214100-0,Bakovens,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbereiding binnen cateringdiensten of bedrijfskeukens.
42214110-3,Grillen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbereiding binnen cateringdiensten of bedrijfskeukens.
42214200-1,Droogtoestellen voor landbouwproducten,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselverwerking of -conservering binnen cateringdiensten of bedrijfskeukens.
42215000-6,Machines voor de industriële bereiding of vervaardiging van voedingsmiddelen of dranken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor grootschalige bereiding of verwerking van voedsel of dranken binnen cateringdiensten of bedrijfskeukens.
42215100-7,Snijmachines voor voedingsmiddelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor het snijden of portioneren van voedsel binnen cateringdiensten of bedrijfskeukens.
42215110-0,Broodsnijmachines,"Levensmiddelen, cateringdiensten en verkoopautomaten","Let op: alleen van toepassing indien gebruikt binnen bedrijfsrestaurants, kantines of cateringdiensten."
42215120-3,Baconsnijmachines,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt binnen professionele voedselbereiding of cateringdiensten.
42215200-8,Voedselverwerkingsmachines,"Levensmiddelen, cateringdiensten en verkoopautomaten","Let op: alleen van toepassing indien gebruikt voor de bereiding, verwerking of verpakking van voedsel binnen cateringdiensten of bedrijfskeukens."
42215300-9,Pastamachines,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbereiding binnen cateringdiensten of bedrijfskeukens.
42220000-4,"Delen van machines voor de bewerking van voedingsmiddelen, dranken en tabak","Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien geleverd als onderdeel van voedsel- of drankverwerkingsinstallaties binnen cateringdiensten of bedrijfskeukens.
42221000-1,Delen van machines voor de productie van voedingsmiddelen,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien geleverd als onderdeel van voedselverwerkings- of bereidingsinstallaties binnen cateringdiensten of bedrijfskeukens.
42221100-2,Delen van machines voor zuivelproductie,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien geleverd als onderdeel van zuivelverwerkingsinstallaties binnen cateringdiensten of bedrijfskeukens.
42221110-5,Delen van melkmachines,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien geleverd als onderdeel van zuivelverwerkings- of bereidingssystemen binnen cateringdiensten of bedrijfskeukens.
42222000-8,Delen van machines voor behandeling van dranken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien geleverd als onderdeel van drankbereidings- of distributiesystemen binnen cateringdiensten of bedrijfskeukens.
42300000-9,Ovens en verbrandingsinstallaties voor industrieel gebruik of laboratorium,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt binnen gebouwgebonden energie- of warmtevoorzieningssystemen.
42310000-2,Ovenbranders,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van verwarmings- of energiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42320000-5,Afvalverbrandingsinstallaties,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien gebruikt voor verwerking of verwijdering van gemeentelijk afval binnen openbare diensten.
42340000-1,Ovens voor niet-huishoudelijk gebruik,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt binnen faciliteitenbeheer of technische installaties van een kantoorgebouw.
42341000-8,Bedrijfsovens,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbereiding of -verwerking binnen bedrijfskeukens of cateringdiensten.
42390000-6,Delen van ovenbranders en ovens,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van verwarmings- of energiesystemen binnen de bouw of renovatie van een kantoorgebouw.
42400000-0,"Hijs-, hef- en transportwerktuigen en delen daarvan","Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor intern transport of onderhoud binnen gebouwen of technische installaties.
42410000-3,"Hijs-, hef- en transportuitrusting","Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor intern transport of faciliteitenbeheer binnen een kantoorgebouw.
42411000-0,Katrolblokken en hefwerktuigen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor onderhouds- of installatiedoeleinden binnen de bouw of renovatie van een kantoorgebouw.
42414000-1,"Kranen, mobiele hijsinstallaties en transportwagens met kraan",Onderhoud van de openbare ruimte,"Let op: alleen van toepassing indien gebruikt voor werkzaamheden aan infrastructuur, bomen of straatmeubilair in de openbare ruimte."
42414100-2,Hijskranen,Onderhoud van de openbare ruimte,Let op: alleen van toepassing indien gebruikt voor werkzaamheden aan infrastructuur of onderhoud van openbare ruimten.
42414400-5,Kranen op voertuigen,Onderhoud van de openbare ruimte,"Let op: alleen van toepassing indien gebruikt voor onderhouds- of reinigingswerkzaamheden in de openbare ruimte (zoals straatmeubilair, groen of infrastructuur)."
42416000-5,"Liften, skipliften, hijsinstallaties, roltrappen en rolpaden","Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van de permanente gebouwinfrastructuur en relevant voor energie-efficiëntie of toegankelijkheid.
42416100-6,Liften,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van de vaste gebouwinfrastructuur en relevant voor energie-efficiëntie, toegankelijkheid of modernisering."
42416110-9,Badliften,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geïnstalleerd in sanitaire ruimten van zorg- of kantoorgebouwen ter bevordering van toegankelijkheid.
42416120-2,Goederenliften,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van de vaste gebouwinfrastructuur en relevant voor energie-efficiëntie of intern transport in gebouwen.
42416130-5,Mechanische liften,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van de vaste gebouwinfrastructuur en relevant voor energie-efficiëntie of modernisering.
42416300-8,Hijsinstallaties,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geïntegreerd in de vaste gebouwinfrastructuur of gebruikt voor onderhoudsdoeleinden binnen gebouwen.
42416400-9,Roltrappen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van de vaste gebouwinfrastructuur en relevant voor energie-efficiëntie of modernisering.
42416500-0,Rolpaden,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van de vaste gebouwinfrastructuur en relevant voor energie-efficiëntie of toegankelijkheid.
42417000-2,Liften en transportbanden,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van interne circulatie- of transportsystemen binnen gebouwen.
42417100-3,Pneumatische liften of transportbanden,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor intern document- of goederenvervoer binnen gebouwen.
42418400-3,Opslag- en opzoeksysteem (carrousels),"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van interne archief- of opslagsystemen binnen gebouwen.
42419500-1,"Delen van liften, skiphijsinstallaties en roltrappen","Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van de vaste gebouwinfrastructuur.
42419510-4,Delen van liften,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van de vaste gebouwinfrastructuur of modernisering van liften.
42419530-0,Delen van roltrappen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van de vaste gebouwinfrastructuur of modernisering van roltrappen.
42419540-3,Delen van rolpaden,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van de vaste gebouwinfrastructuur of modernisering van rolpaden.
42500000-1,Koel- en ventilatie-uitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien onderdeel van HVAC-, klimaatregelings- of energie-efficiëntiesystemen binnen gebouwen."
42510000-4,"Warmtewisselaars, luchtbehandelings- en koeluitrusting en filtertoestellen","Ontwerp, bouw en beheer van kantoorgebouwen","Let op: alleen van toepassing indien gebruikt binnen energie-efficiënte ventilatie-, verwarmings- of koelsystemen van gebouwen."
42511000-1,Warmtewisselaars en toestellen voor het vloeibaar maken van lucht of andere gassen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt binnen klimaatregelingssystemen of voor energieherwinning.
42511100-2,Warmtewisselaars,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van HVAC- of energie-efficiëntiesystemen binnen gebouwen.
42511110-5,Warmtepompen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor energie-efficiënte verwarmings- en koelsystemen van gebouwen.
42512000-8,Luchtbehandelingsinstallaties,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor energie-efficiënte ventilatie- en klimaatregelsystemen in gebouwen.
42512100-9,Luchtbehandelingstoestellen voor montage in ramen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor lokale klimaatregeling of ventilatie binnen gebouwen.
42512200-0,Luchtbehandelingstoestellen voor bevestiging aan muren,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energie-efficiënte HVAC-installaties binnen gebouwen.
42512300-1,"Verwarmings-, ventilatie- en luchtbehandelingspakketten","Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor geïntegreerde HVAC-systemen in energie-efficiënte gebouwen.
42512500-3,Delen van luchtbehandelingstoestellen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van gebouwgebonden ventilatie- of klimaatregelsystemen.
42512510-6,Luchtregelkleppen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van luchtbehandelings- of ventilatiesystemen binnen gebouwen.
42512520-9,Ventilatieroosters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van luchtverdeel- of ventilatiesystemen binnen gebouwen.
42513000-5,Koel- en diepvriesuitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor klimaatregeling of serverruimtekoeling binnen gebouwen.
42513100-6,Diepvriesuitrusting,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbewaring binnen bedrijfskeukens of cateringdiensten.
42513200-7,Koeluitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor klimaatregeling of koeling van technische ruimten binnen gebouwen.
42513210-0,Koelvitrines,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselpresentatie of bewaring binnen cateringdiensten of bedrijfskeukens.
42513220-3,Koeltoonbanken,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedselbewaring of presentatie binnen bedrijfsrestaurants of cateringomgevingen.
42513290-4,Bedrijfskoeluitrusting,"Levensmiddelen, cateringdiensten en verkoopautomaten",Let op: alleen van toepassing indien gebruikt voor voedsel- of drankbewaring binnen professionele keukens.
42514000-2,Machines en toestellen voor het filtreren of zuiveren van gassen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van luchtbehandelings- of klimaatregelsystemen binnen gebouwen.
42514200-4,Elektrostatische lucht- en gasreinigers,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet relevant binnen GPP-criteria voor binnenluchtkwaliteit en energie-efficiëntie.
42514300-5,Filtertoestellen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van luchtbehandelingssystemen of HVAC-installaties binnen gebouwen.
42514310-8,Luchtfilters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor energie-efficiënte ventilatie en binnenluchtkwaliteit.
42514320-1,Gasfilters,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van lucht- of gasreinigingssystemen binnen gebouwen.
42515000-9,Ketel voor stadsverwarming,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor energie-efficiënte verwarmingssystemen en warmtedistributie in gebouwen.
42520000-7,Ventilatie-uitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor energie-efficiënte ventilatie en luchtverversing in gebouwen.
42521000-4,Rookafzuiguitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van gebouwgebonden luchtbehandeling of brandveiligheidsinstallaties.
42522000-1,Ventilatoren voor niet-huishoudelijk gebruik,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: expliciet opgenomen binnen GPP-criteria voor ventilatie- en luchtbehandelingssystemen in utiliteitsgebouwen.
42522100-2,Delen van ventilatoren,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien geleverd als onderdeel van gebouwgebonden ventilatie-installaties.
42530000-0,Delen van koel- en diepvriesuitrusting en van warmtepompen,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien onderdeel van energie-efficiënte klimaatinstallaties of warmtepompsystemen.
42531000-7,Delen van koeluitrusting,"Ontwerp, bouw en beheer van kantoorgebouwen",Let op: alleen van toepassing indien gebruikt voor gebouwgebonden koelinstallaties.
